
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ecf943bc-6499-40f9-9905-7e9e889a36e3?bufferSize=1000&amp;useArrayFormat=true
16:01:33.630 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:36.313 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[582468]
16:01:42.630 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:43.597 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x1001]
16:01:43.654 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x5001003201F4]
16:01:43.691 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x22F012]
16:01:43.901 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x62F01234373835363650443541]
16:01:43.941 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x22F1A1]
16:01:44.012 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x62F1A134373636303733323452]
16:01:44.064 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x22F1A2]
16:01:44.131 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x62F1A234373835373650463743]
16:01:44.196 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x1003]
16:01:44.253 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x5003003201F4]
16:01:44.282 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x22F012]
16:01:44.343 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x62F01232383442333739383552]
16:01:44.409 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x1001]
16:01:44.633 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x5001003201F4]
16:01:44.893 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0752,0x00,0x00,0x00] data[0x1003]
16:01:44.963 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0772,0x00,0x00,0x00] data[0x5003003201F4]
16:01:44.994 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0752,0x00,0x00,0x00] data[0x22F012]
16:01:45.084 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x0772,0x00,0x00,0x00] data[0x037F2278FFFFFFFF]
16:01:45.092 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0772,0x00,0x00,0x00] data[0x62F01239383832303650453041]
16:01:45.191 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x1003]
16:01:45.474 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0767,0x00,0x00,0x00] data[0x5003003201F4]
16:01:45.516 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x22F012]
16:01:45.592 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0767,0x00,0x00,0x00] data[0x62F01232383343323650413745]
16:01:45.622 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x22F1A1]
16:01:45.702 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0767,0x00,0x00,0x00] data[0x62F1A1323539313536504D3142]
16:01:45.831 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x1003]
16:01:45.884 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x5003003201F4]
16:01:45.910 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F012]
16:01:46.122 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F01233363033333650413242]
16:01:46.156 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F187]
16:01:46.158 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[129]
16:01:46.233 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F18732383546323337323452]
16:01:46.290 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F18A]
16:01:46.453 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F18A5452572020204361726C2D537061657465722D5374722E20382020203536303730204B6F626C656E7A2020204765726D616E7920202020202020202020202020]
16:01:46.514 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F1A0]
16:01:46.573 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F1A004]
16:01:46.612 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F190]
16:01:46.854 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F1900000000000000000000000000000000000]
16:01:46.906 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F191]
16:01:46.982 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F1913238354A393931363652]
16:01:47.033 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F194]
16:01:47.153 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F1945330315F30322020202020202020202020202020202020202020202020202020]
16:01:47.211 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F195]
16:01:47.324 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F1953030315F30303045303730455331303220202020202020202020202020202020]
16:01:47.371 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F188]
16:01:47.572 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F18833363033363650413243]
16:01:47.620 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0755,0x00,0x00,0x00] data[0x22F18C]
16:01:47.712 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0775,0x00,0x00,0x00] data[0x62F18C323131313234303030324B39314135305452574B]
16:01:47.830 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DADDF1,0x00,0x00,0x00] data[0x1003]
16:01:47.893 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1DD,0x00,0x00,0x00] data[0x5003003201F4]
16:01:47.924 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DADDF1,0x00,0x00,0x00] data[0x22F187]
16:01:48.000 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1DD,0x00,0x00,0x00] data[0x62F18732393241303633303152]
16:01:48.046 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DADDF1,0x00,0x00,0x00] data[0x22F18A]
16:01:48.158 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[72]
16:01:48.312 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1DD,0x00,0x00,0x00] data[0x62F18A544F594F544120494E445553545249455320434F52504F524154494F4E]
16:01:48.359 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DADDF1,0x00,0x00,0x00] data[0x22F1A0]
16:01:48.414 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1DD,0x00,0x00,0x00] data[0x62F1A008]
16:01:48.451 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DADDF1,0x00,0x00,0x00] data[0x22F190]
16:01:48.521 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1DD,0x00,0x00,0x00] data[0x62F190534A4E4643414631365531313933393839]
16:01:48.568 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DADDF1,0x00,0x00,0x00] data[0x22F191]
