
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/bc6621ee-2af4-400b-8bac-c08e0c3d8b65?bufferSize=1000&amp;useArrayFormat=true
14:09:49.962 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1743] target[0E80] data[62F1134D3845322D3134443631392D434100000000000000000000]
14:09:49.978 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C3] data[22F113]
14:09:50.049 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1437] data[22F113]
14:09:50.184 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C3] target[0E80] data[62F1134D5934322D3133453030352D424100000000000000000000]
14:09:50.185 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1437] target[0E80] data[62F1134D3845322D34433138352D41430000000000000000000000]
14:09:50.245 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1737] data[22F113]
14:09:50.370 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1737] target[0E80] data[62F113523845322D3134443337342D414100000000000000000000]
14:09:50.395 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17B6] data[22F113]
14:09:50.478 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1775] data[22F113]
14:09:50.521 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17B6] target[0E80] data[62F1134D5934322D3134423438342D414100000000000000000000]
14:09:50.584 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1775] target[0E80] data[62F1134D5934322D3134423637332D414300000000000000000000]
14:09:50.585 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1734] data[22F113]
14:09:50.659 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1733] data[22F113]
14:09:50.694 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1734] target[0E80] data[62F1134D5934322D3133453030352D424100000000000000000000]
14:09:50.732 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1733] target[0E80] data[62F113FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF]
14:09:50.756 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[14B3] data[22F113]
14:09:50.842 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[14B3] target[0E80] data[62F1134E3842322D31394C3330302D504400000000000000000000]
14:09:50.859 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1732] data[22F113]
14:09:50.924 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1732] target[0E80] data[62F113FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF]
14:09:50.941 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1731] data[22F113]
14:09:51.018 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1730] data[22F113]
14:09:51.044 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1731] target[0E80] data[62F1134B3844322D3139483434302D424300000000000000000000]
14:09:51.104 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1730] target[0E80] data[62F1134D3842322D3134463439392D414500000000000000000000]
14:09:51.105 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1726] data[22F113]
14:09:51.197 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1764] data[22F113]
14:09:51.234 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1726] target[0E80] data[62F113523845322D3134463034312D414200000000000000000000]
14:09:51.295 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E4] data[22F113]
14:09:51.332 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1764] target[0E80] data[62F113525934322D39473736382D41420000000000000000000000]
14:09:51.424 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E4] target[0E80] data[62F1134C3842322D3130423638372D424500000000000000000000]
14:09:51.439 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1464] data[22F113]
14:09:51.546 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17A3] data[22F113]
14:09:51.562 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1464] target[0E80] data[62F1134D3842322D3134463439392D414500000000000000000000]
14:09:51.628 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17A2] data[22F113]
